Time [s];TAP state;TDI;TDO;TDIBitCount;TDOBitCount
0.000000000000000;Run-Test/Idle;;;;
0.011768300000000;Select-DR-Scan;;;;
0.011769500000000;Select-IR-Scan;;;;
0.011771250000000;Capture-IR;;;;
0.011771400000000;Shift-IR;0x3FFFE;0x3F955;18;18
0.011779300000000;Exit1-IR;;;;
0.011780500000000;Update-IR;;;;
0.011781650000000;Select-DR-Scan;;;;
0.011782800000000;Select-IR-Scan;;;;
0.011784550000000;Capture-IR;;;;
0.011784750000000;Shift-IR;0x00C;0x155;10;10
0.011790500000000;Exit1-IR;;;;
0.011791650000000;Update-IR;;;;
0.011792800000000;Select-DR-Scan;;;;
0.011794000000000;Capture-DR;;;;
0.011795150000000;Shift-DR;0x1;0x5;4;4
0.011799800000000;Exit1-DR;;;;
0.011801000000000;Update-DR;;;;
1.012400100000000;Select-DR-Scan;;;;
1.012401300000000;Select-IR-Scan;;;;
1.012403050000000;Capture-IR;;;;
1.012403200000000;Shift-IR;0x3FFFE;0x3F955;18;18
1.012411100000000;Exit1-IR;;;;
1.012412300000000;Update-IR;;;;
1.012413450000000;Select-DR-Scan;;;;
1.012414600000000;Select-IR-Scan;;;;
1.012416350000000;Capture-IR;;;;
1.012416550000000;Shift-IR;0x02C;0x155;10;10
1.012422300000000;Exit1-IR;;;;
1.012423450000000;Update-IR;;;;
1.012424600000000;Select-DR-Scan;;;;
1.012425800000000;Capture-DR;;;;
1.012426950000000;Shift-DR;0x1;0x5;4;4
1.012431600000000;Exit1-DR;;;;
1.012432800000000;Update-DR;;;;
2.014401850000000;Select-DR-Scan;;;;
2.014403000000000;Select-IR-Scan;;;;
2.014404750000000;Capture-IR;;;;
2.014404950000000;Shift-IR;0x3FFDE;0x3F955;18;18
2.014412850000000;Exit1-IR;;;;
2.014414000000000;Update-IR;;;;
2.014415200000000;Select-DR-Scan;;;;
2.014416350000000;Select-IR-Scan;;;;
2.014418100000000;Capture-IR;;;;
2.014418250000000;Shift-IR;0x00C;0x155;10;10
2.014424000000000;Exit1-IR;;;;
2.014425200000000;Update-IR;;;;
2.014426350000000;Select-DR-Scan;;;;
2.014427500000000;Capture-DR;;;;
2.014428700000000;Shift-DR;0x1;0x5;4;4
2.014433350000000;Exit1-DR;;;;
2.014434500000000;Update-DR;;;;
3.015959350000000;Select-DR-Scan;;;;
3.015960550000000;Select-IR-Scan;;;;
3.015962300000000;Capture-IR;;;;
3.015962450000000;Shift-IR;0x3FFFE;0x3F955;18;18
3.015970350000000;Exit1-IR;;;;
3.015971550000000;Update-IR;;;;
3.015972700000000;Select-DR-Scan;;;;
3.015973850000000;Select-IR-Scan;;;;
3.015975600000000;Capture-IR;;;;
3.015975800000000;Shift-IR;0x00C;0x155;10;10
3.015981550000000;Exit1-IR;;;;
3.015982700000000;Update-IR;;;;
3.015983850000000;Select-DR-Scan;;;;
3.015985050000000;Capture-DR;;;;
3.015986200000000;Shift-DR;0x1;0x5;4;4
3.015990850000000;Exit1-DR;;;;
3.015992050000000;Update-DR;;;;
4.016826100000000;Select-DR-Scan;;;;
4.016827300000000;Select-IR-Scan;;;;
4.016829050000000;Capture-IR;;;;
4.016829200000000;Shift-IR;0x3FFFE;0x3F955;18;18
4.016837100000000;Exit1-IR;;;;
4.016838300000000;Update-IR;;;;
4.016839450000000;Select-DR-Scan;;;;
4.016840600000000;Select-IR-Scan;;;;
4.016842350000000;Capture-IR;;;;
4.016842550000000;Shift-IR;0x00C;0x155;10;10
4.016848300000000;Exit1-IR;;;;
4.016849450000000;Update-IR;;;;
4.016850600000000;Select-DR-Scan;;;;
4.016851800000000;Capture-DR;;;;
4.016852950000000;Shift-DR;0x1;0x5;4;4
4.016857600000000;Exit1-DR;;;;
4.016858800000000;Update-DR;;;;
4.148816900000000;Select-DR-Scan;;;;
4.148818650000000;Capture-DR;;;;
4.148818800000000;Shift-DR;[0xF0F8260781603807], [0x271387201C460783], [0x8DF038820FC741B8], [0x38C62F8B62982627], [0x2B8A63B8E6378D63], [0x6378D6338C62F8B6], [0x1F438023DC763B8E], [0xDC76F81249DB4079], [0xF9765B9265385241], [0x6B9A667996639865], [0x6779D6739C66F9B6], [0x06C38077F8D279DE], [0xE44C783F8FB0205E], [0xFA769B82793B5201], [0xABAA6A7A96A3A869], [0x793BC6FB8C6AFAB6], [0x16C3B023DE76FB8E], [0x0C7B];[0x0080200802008025], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0080200802008020], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0080200802008020], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0080200802008020], [0x2008020080200802], [0x0080];1103;1103
4.149102050000000;Exit1-DR;;;;
4.149103350000000;Update-DR;;;;
4.149104700000000;Select-DR-Scan;;;;
4.149106050000000;Capture-DR;;;;
4.149107350000000;Shift-DR;0x09;0x24;6;6
4.149115350000000;Exit1-DR;;;;
4.149116700000000;Update-DR;;;;
4.150425500000000;Select-DR-Scan;;;;
4.150427500000000;Capture-DR;;;;
4.150427650000000;Shift-DR;[0x30000200C0000803], [0x0200802008000080], [0x8020080200802008], [0x0802008020080200], [0x0000200C00008020], [0x30000200C0000803], [0x020000200C000080], [0x8020080200802008], [0x0802008020080200], [0x0080300002008020], [0x0];[0x0080200802008024], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0080200802008020], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0];643;643
4.150580050000000;Exit1-DR;;;;
4.150581200000000;Update-DR;;;;
4.150582350000000;Select-DR-Scan;;;;
4.150583550000000;Capture-DR;;;;
4.150584700000000;Shift-DR;0x09;0x24;6;6
4.150591700000000;Exit1-DR;;;;
4.150592850000000;Update-DR;;;;
4.150909100000000;Select-DR-Scan;;;;
4.150910850000000;Capture-DR;;;;
4.150911000000000;Shift-DR;[0x2008020080200803], [0x0200802008020080], [0x00200C0000803008], [0x000200C000080300], [0x0080200800008030], [0x2008020080200802], [0x0200802008020080], [0xC0200C0000802008], [0x0C00008030000200], [0x0080000802000020], [0x0];[0x0080200802008024], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0080200802008020], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0];643;643
4.151063450000000;Exit1-DR;;;;
4.151064650000000;Update-DR;;;;
4.151065800000000;Select-DR-Scan;;;;
4.151066950000000;Capture-DR;;;;
4.151068150000000;Shift-DR;0x09;0x24;6;6
4.151075150000000;Exit1-DR;;;;
4.151076300000000;Update-DR;;;;
4.152246250000000;Select-DR-Scan;;;;
4.152248000000000;Capture-DR;;;;
4.152248150000000;Shift-DR;[0x2008020000200C01], [0x0200802008020080], [0x8020080200802008], [0x0803000020080200], [0x008030000200C000], [0x0008020000200C00], [0x0200802008020080], [0x8020080200802008], [0x0C00008020080200], [0x00C0000803000020], [0x0];[0x0080200802008024], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0080200802008020], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0];643;643
4.152401450000000;Exit1-DR;;;;
4.152402750000000;Update-DR;;;;
4.152404100000000;Select-DR-Scan;;;;
4.152405450000000;Capture-DR;;;;
4.152406750000000;Shift-DR;0x09;0x24;6;6
4.152414750000000;Exit1-DR;;;;
4.152416100000000;Update-DR;;;;
4.152664400000000;Select-DR-Scan;;;;
4.152666400000000;Capture-DR;;;;
4.152666550000000;Shift-DR;[0x200C000080200803], [0x0200C00008030000], [0x00200C0000803000], [0x0802008020080200], [0x0080200802008020], [0x200C020080200802], [0x0200C00008030000], [0x80200C0000803000], [0x0802008020080000], [0x0080200802008020], [0x0];[0x0080200802008024], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0080200802008020], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0];643;643
4.152819750000000;Exit1-DR;;;;
4.152821100000000;Update-DR;;;;
4.152822450000000;Select-DR-Scan;;;;
4.152823750000000;Capture-DR;;;;
4.152825100000000;Shift-DR;0x09;0x24;6;6
4.152833100000000;Exit1-DR;;;;
4.152834450000000;Update-DR;;;;
4.153234350000000;Select-DR-Scan;;;;
4.153236350000000;Capture-DR;;;;
4.153236550000000;Shift-DR;[0x2008020080200003], [0x0200802008020080], [0xC000080200802008], [0x0C00008030000200], [0x00C0000803000020], [0x2008020080200002], [0x0200802008020080], [0x0020080200802008], [0x000200C000080300], [0x0000200C00008030], [0x0];[0x0080200802008024], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0080200802008020], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0];643;643
4.153389800000000;Exit1-DR;;;;
4.153391150000000;Update-DR;;;;
4.153392500000000;Select-DR-Scan;;;;
4.153393800000000;Capture-DR;;;;
4.153395150000000;Shift-DR;0x09;0x24;6;6
4.153403150000000;Exit1-DR;;;;
4.153404500000000;Update-DR;;;;
4.154268000000000;Select-DR-Scan;;;;
4.154269750000000;Capture-DR;;;;
4.154269950000000;Shift-DR;[0x200C000080300003], [0x0200800008030000], [0x8020080200802008], [0x0802008020080200], [0x00C0000803008020], [0x200C000080300002], [0x0200800008030000], [0x8020080200802008], [0x0802008020080200], [0x0080300002008020], [0x0];[0x0080200802008024], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0080200802008020], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0];643;643
4.154422950000000;Exit1-DR;;;;
4.154424300000000;Update-DR;;;;
4.154425650000000;Select-DR-Scan;;;;
4.154426950000000;Capture-DR;;;;
4.154428300000000;Shift-DR;0x09;0x24;6;6
4.154436150000000;Exit1-DR;;;;
4.154437300000000;Update-DR;;;;
4.154722550000000;Select-DR-Scan;;;;
4.154724300000000;Capture-DR;;;;
4.154724450000000;Shift-DR;[0x0008030000200C01], [0x02008020000200C0], [0x8020080200802008], [0x0802008020080200], [0x008030000200C020], [0x0008030000200C00], [0x02008020000200C0], [0x8020080200802008], [0x0802008020080200], [0x00C0000803000020], [0x0];[0x0080200802008024], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0080200802008020], [0x2008020080200802], [0x0200802008020080], [0x8020080200802008], [0x0802008020080200], [0x0];643;643
4.154877650000000;Exit1-DR;;;;
4.154879000000000;Update-DR;;;;
4.154880300000000;Select-DR-Scan;;;;
4.154881650000000;Capture-DR;;;;
4.154882900000000;Shift-DR;0x09;0x24;6;6
4.154890650000000;Exit1-DR;;;;
4.154892000000000;Update-DR;;;;
5.157286350000000;Select-DR-Scan;;;;
5.157287550000000;Select-IR-Scan;;;;
5.157289300000000;Capture-IR;;;;
5.157289450000000;Shift-IR;0x3FFFE;0x3F955;18;18
5.157297350000000;Exit1-IR;;;;
5.157298550000000;Update-IR;;;;
5.157299700000000;Select-DR-Scan;;;;
5.157300850000000;Select-IR-Scan;;;;
5.157302600000000;Capture-IR;;;;
5.157302800000000;Shift-IR;0x00C;0x155;10;10
5.157308550000000;Exit1-IR;;;;
5.157309700000000;Update-IR;;;;
5.157310850000000;Select-DR-Scan;;;;
5.157312050000000;Capture-DR;;;;
5.157313200000000;Shift-DR;0x1;0x4;4;4
5.157317850000000;Exit1-DR;;;;
5.157319050000000;Update-DR;;;;
6.158201050000000;Select-DR-Scan;;;;
6.158202400000000;Select-IR-Scan;;;;
6.158204400000000;Capture-IR;;;;
6.158204550000000;Shift-IR;0x3FFFE;0x3F955;18;18
6.158212550000000;Exit1-IR;;;;
6.158213750000000;Update-IR;;;;
6.158214900000000;Select-DR-Scan;;;;
6.158216050000000;Select-IR-Scan;;;;
6.158217800000000;Capture-IR;;;;
6.158218000000000;Shift-IR;0x00C;0x155;10;10
6.158223750000000;Exit1-IR;;;;
6.158224900000000;Update-IR;;;;
6.158226050000000;Select-DR-Scan;;;;
6.158227250000000;Capture-DR;;;;
6.158228400000000;Shift-DR;0x1;0x5;4;4
6.158233050000000;Exit1-DR;;;;
