Time [s];TAP state;TDI;TDO;TDIBitCount;TDOBitCount
0.000000000000000;Run-Test/Idle;;;;
1.796397600000000;Select-DR-Scan;;;;
1.796398900000000;Select-IR-Scan;;;;
1.796400150000000;Test-Logic-Reset;;;;
1.796405500000000;Run-Test/Idle;;;;
1.796406850000000;Select-DR-Scan;;;;
1.796408650000000;Capture-DR;;;;
1.796408850000000;Shift-DR;[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];[0x0FECC0FF020B10DD], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
1.797288400000000;Exit1-DR;;;;
1.797289650000000;Update-DR;;;;
1.797290950000000;Select-DR-Scan;;;;
1.797292300000000;Select-IR-Scan;;;;
1.797294100000000;Capture-IR;;;;
1.797294250000000;Shift-IR;[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
1.797520400000000;Exit1-IR;;;;
1.797521650000000;Update-IR;;;;
1.797523000000000;Select-DR-Scan;;;;
1.797524350000000;Select-IR-Scan;;;;
1.797526150000000;Capture-IR;;;;
1.797526350000000;Shift-IR;[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
1.797761900000000;Exit1-IR;;;;
1.797763150000000;Update-IR;;;;
1.797764500000000;Select-DR-Scan;;;;
1.797766350000000;Capture-DR;;;;
1.797766500000000;Shift-DR;[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFE1FD981FE], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
1.798034450000000;Exit1-DR;;;;
1.798035750000000;Update-DR;;;;
1.798037050000000;Select-DR-Scan;;;;
1.798038350000000;Select-IR-Scan;;;;
1.798040200000000;Capture-IR;;;;
1.798040350000000;Shift-IR;0x3FF;0x155;10;10
1.798046400000000;Exit1-IR;;;;
1.798047750000000;Update-IR;;;;
1.798049100000000;Select-DR-Scan;;;;
1.798050900000000;Capture-DR;;;;
1.798051100000000;Shift-DR;0x00;0x00;7;7
1.798053150000000;Exit1-DR;;;;
1.798054500000000;Update-DR;;;;
1.806393500000000;Select-DR-Scan;;;;
1.806394750000000;Select-IR-Scan;;;;
1.806396550000000;Capture-IR;;;;
1.806396750000000;Shift-IR;0x00E;0x155;10;10
1.806402800000000;Exit1-IR;;;;
1.806404100000000;Update-IR;;;;
1.806405450000000;Select-DR-Scan;;;;
1.806407250000000;Capture-DR;;;;
1.806407450000000;Shift-DR;[0x0000000000000000], [0x00];[0x0000000000000100], [0x00];71;71
1.806422850000000;Exit1-DR;;;;
1.806424200000000;Update-DR;;;;
1.807645850000000;Select-DR-Scan;;;;
1.807647100000000;Select-IR-Scan;;;;
1.807648950000000;Capture-IR;;;;
1.807649100000000;Shift-IR;0x00C;0x155;10;10
1.807655150000000;Exit1-IR;;;;
1.807656500000000;Update-IR;;;;
1.807657800000000;Select-DR-Scan;;;;
1.807659650000000;Capture-DR;;;;
1.807659800000000;Shift-DR;0x00;0x08;7;7
1.807661850000000;Exit1-DR;;;;
1.807663200000000;Update-DR;;;;
1.808055100000000;Select-DR-Scan;;;;
1.808056850000000;Capture-DR;;;;
1.808057000000000;Shift-DR;0x00;0x00;7;7
1.808059050000000;Exit1-DR;;;;
1.808060400000000;Update-DR;;;;
1.808310750000000;Select-DR-Scan;;;;
1.808312500000000;Capture-DR;;;;
1.808312650000000;Shift-DR;0x00;0x0E;7;7
1.808314750000000;Exit1-DR;;;;
1.808316050000000;Update-DR;;;;
1.808648950000000;Select-DR-Scan;;;;
1.808650700000000;Capture-DR;;;;
1.808650850000000;Shift-DR;0x00;0x06;7;7
1.808652950000000;Exit1-DR;;;;
1.808654250000000;Update-DR;;;;
1.809067850000000;Select-DR-Scan;;;;
1.809069600000000;Capture-DR;;;;
1.809069750000000;Shift-DR;0x00;0x00;7;7
1.809071850000000;Exit1-DR;;;;
1.809073200000000;Update-DR;;;;
1.809321700000000;Select-DR-Scan;;;;
1.809323450000000;Capture-DR;;;;
1.809323650000000;Shift-DR;0x00;0x01;7;7
1.809325750000000;Exit1-DR;;;;
1.809327050000000;Update-DR;;;;
1.809826950000000;Select-DR-Scan;;;;
1.809828700000000;Capture-DR;;;;
1.809828850000000;Shift-DR;0x00;0x08;7;7
1.809830950000000;Exit1-DR;;;;
1.809832250000000;Update-DR;;;;
1.810064450000000;Select-DR-Scan;;;;
1.810066200000000;Capture-DR;;;;
1.810066350000000;Shift-DR;0x00;0x00;7;7
1.810068450000000;Exit1-DR;;;;
1.810069750000000;Update-DR;;;;
1.810341450000000;Select-DR-Scan;;;;
1.810343200000000;Capture-DR;;;;
1.810343400000000;Shift-DR;0x00;0x00;7;7
1.810345450000000;Exit1-DR;;;;
1.810346800000000;Update-DR;;;;
1.811119250000000;Select-DR-Scan;;;;
1.811121000000000;Capture-DR;;;;
1.811121200000000;Shift-DR;0x00;0x00;7;7
1.811123250000000;Exit1-DR;;;;
1.811124550000000;Update-DR;;;;
1.812434650000000;Select-DR-Scan;;;;
1.812436400000000;Capture-DR;;;;
1.812436600000000;Shift-DR;0x00;0x0E;7;7
1.812438650000000;Exit1-DR;;;;
1.812439950000000;Update-DR;;;;
1.812759450000000;Select-DR-Scan;;;;
1.812761200000000;Capture-DR;;;;
1.812761400000000;Shift-DR;0x00;0x06;7;7
1.812763450000000;Exit1-DR;;;;
1.812764800000000;Update-DR;;;;
1.813029350000000;Select-DR-Scan;;;;
1.813031100000000;Capture-DR;;;;
1.813031250000000;Shift-DR;0x00;0x00;7;7
1.813033350000000;Exit1-DR;;;;
1.813034650000000;Update-DR;;;;
1.813387250000000;Select-DR-Scan;;;;
1.813389000000000;Capture-DR;;;;
1.813389150000000;Shift-DR;0x00;0x00;7;7
1.813391200000000;Exit1-DR;;;;
1.813392550000000;Update-DR;;;;
1.813759350000000;Select-DR-Scan;;;;
1.813761150000000;Capture-DR;;;;
1.813761300000000;Shift-DR;0x00;0x0C;7;7
1.813763400000000;Exit1-DR;;;;
1.813764700000000;Update-DR;;;;
1.814038650000000;Select-DR-Scan;;;;
1.814040450000000;Capture-DR;;;;
1.814040650000000;Shift-DR;0x00;0x00;7;7
1.814042650000000;Exit1-DR;;;;
1.814044000000000;Update-DR;;;;
1.814387250000000;Select-DR-Scan;;;;
1.814389000000000;Capture-DR;;;;
1.814389150000000;Shift-DR;0x00;0x00;7;7
1.814391250000000;Exit1-DR;;;;
1.814392600000000;Update-DR;;;;
1.814672700000000;Select-DR-Scan;;;;
1.814674450000000;Capture-DR;;;;
1.814674650000000;Shift-DR;0x00;0x00;7;7
1.814676650000000;Exit1-DR;;;;
1.814678000000000;Update-DR;;;;
1.814918150000000;Select-DR-Scan;;;;
1.814919950000000;Capture-DR;;;;
1.814920150000000;Shift-DR;0x00;0x0E;7;7
1.814922200000000;Exit1-DR;;;;
1.814923500000000;Update-DR;;;;
1.815197000000000;Select-DR-Scan;;;;
1.815198750000000;Capture-DR;;;;
1.815198900000000;Shift-DR;0x00;0x06;7;7
1.815201000000000;Exit1-DR;;;;
1.815202350000000;Update-DR;;;;
1.815560400000000;Select-DR-Scan;;;;
1.815562150000000;Capture-DR;;;;
1.815562350000000;Shift-DR;0x00;0x00;7;7
1.815564400000000;Exit1-DR;;;;
1.815565700000000;Update-DR;;;;
1.815901850000000;Select-DR-Scan;;;;
1.815903600000000;Capture-DR;;;;
1.815903800000000;Shift-DR;0x00;0x00;7;7
1.815905850000000;Exit1-DR;;;;
1.815907200000000;Update-DR;;;;
1.816326100000000;Select-DR-Scan;;;;
1.816327850000000;Capture-DR;;;;
1.816328000000000;Shift-DR;0x00;0x00;7;7
1.816330100000000;Exit1-DR;;;;
1.816331400000000;Update-DR;;;;
1.817434550000000;Select-DR-Scan;;;;
1.817436250000000;Capture-DR;;;;
1.817436400000000;Shift-DR;0x00;0x03;7;7
1.817438500000000;Exit1-DR;;;;
1.817439850000000;Update-DR;;;;
1.817975850000000;Select-DR-Scan;;;;
1.817977100000000;Select-IR-Scan;;;;
1.817978950000000;Capture-IR;;;;
1.817979100000000;Shift-IR;0x00E;0x155;10;10
1.817985200000000;Exit1-IR;;;;
1.817986550000000;Update-IR;;;;
1.817987850000000;Select-DR-Scan;;;;
1.817989650000000;Capture-DR;;;;
1.817989850000000;Shift-DR;0x4400;0x0000;15;15
1.817993600000000;Exit1-DR;;;;
1.817994900000000;Update-DR;;;;
1.817996250000000;Select-DR-Scan;;;;
1.817997550000000;Select-IR-Scan;;;;
1.817999350000000;Capture-IR;;;;
1.817999550000000;Shift-IR;0x00C;0x155;10;10
1.818005600000000;Exit1-IR;;;;
1.818006900000000;Update-IR;;;;
1.818008250000000;Select-DR-Scan;;;;
1.818010050000000;Capture-DR;;;;
1.818010200000000;Shift-DR;0x78;0x09;7;7
1.818012300000000;Exit1-DR;;;;
1.818013600000000;Update-DR;;;;
1.818899100000000;Select-DR-Scan;;;;
1.818900850000000;Capture-DR;;;;
1.818901050000000;Shift-DR;0x78;0x03;7;7
1.818903100000000;Exit1-DR;;;;
1.818904450000000;Update-DR;;;;
1.819540250000000;Select-DR-Scan;;;;
1.819542000000000;Capture-DR;;;;
1.819542150000000;Shift-DR;0x78;0x06;7;7
1.819544250000000;Exit1-DR;;;;
1.819545550000000;Update-DR;;;;
1.819978050000000;Select-DR-Scan;;;;
1.819979800000000;Capture-DR;;;;
1.819979950000000;Shift-DR;0x78;0x09;7;7
1.819982050000000;Exit1-DR;;;;
1.819983350000000;Update-DR;;;;
1.821323800000000;Select-DR-Scan;;;;
1.821325550000000;Capture-DR;;;;
1.821325700000000;Shift-DR;0x78;0x09;7;7
1.821327800000000;Exit1-DR;;;;
1.821329100000000;Update-DR;;;;
1.822949350000000;Select-DR-Scan;;;;
1.822951150000000;Capture-DR;;;;
1.822951300000000;Shift-DR;0x78;0x08;7;7
1.822953400000000;Exit1-DR;;;;
1.822954700000000;Update-DR;;;;
1.823531200000000;Select-DR-Scan;;;;
1.823532900000000;Capture-DR;;;;
1.823533050000000;Shift-DR;0x78;0x08;7;7
1.823535150000000;Exit1-DR;;;;
1.823536500000000;Update-DR;;;;
1.824633500000000;Select-DR-Scan;;;;
1.824635250000000;Capture-DR;;;;
1.824635450000000;Shift-DR;0x78;0x08;7;7
1.824637500000000;Exit1-DR;;;;
1.824638800000000;Update-DR;;;;
1.825105750000000;Select-DR-Scan;;;;
1.825107000000000;Select-IR-Scan;;;;
1.825108800000000;Capture-IR;;;;
1.825109000000000;Shift-IR;0x00E;0x155;10;10
1.825115000000000;Exit1-IR;;;;
1.825116300000000;Update-IR;;;;
1.825117650000000;Select-DR-Scan;;;;
1.825119500000000;Capture-DR;;;;
1.825119650000000;Shift-DR;0x4800;0x0020;15;15
1.825123350000000;Exit1-DR;;;;
1.825124700000000;Update-DR;;;;
1.825126000000000;Select-DR-Scan;;;;
1.825127350000000;Select-IR-Scan;;;;
1.825129150000000;Capture-IR;;;;
1.825129300000000;Shift-IR;0x00C;0x155;10;10
1.825135400000000;Exit1-IR;;;;
1.825136750000000;Update-IR;;;;
1.825138050000000;Select-DR-Scan;;;;
1.825139900000000;Capture-DR;;;;
1.825140050000000;Shift-DR;0x000000;0x000000;23;23
1.825145450000000;Exit1-DR;;;;
1.825146750000000;Update-DR;;;;
1.828208050000000;Select-DR-Scan;;;;
1.828209300000000;Select-IR-Scan;;;;
1.828211150000000;Capture-IR;;;;
1.828211300000000;Shift-IR;0x00E;0x155;10;10
1.828217300000000;Exit1-IR;;;;
1.828218650000000;Update-IR;;;;
1.828220150000000;Select-DR-Scan;;;;
1.828222250000000;Capture-DR;;;;
1.828222450000000;Shift-DR;0x4020;0x0040;15;15
1.828226250000000;Exit1-DR;;;;
1.828227750000000;Update-DR;;;;
1.829032550000000;Select-DR-Scan;;;;
1.829034300000000;Capture-DR;;;;
1.829034450000000;Shift-DR;0x4100;0x0001;15;15
1.829038200000000;Exit1-DR;;;;
1.829039550000000;Update-DR;;;;
1.829040900000000;Select-DR-Scan;;;;
1.829042200000000;Select-IR-Scan;;;;
1.829044000000000;Capture-IR;;;;
1.829044200000000;Shift-IR;0x00C;0x155;10;10
1.829050250000000;Exit1-IR;;;;
1.829051600000000;Update-IR;;;;
1.829052900000000;Select-DR-Scan;;;;
1.829054700000000;Capture-DR;;;;
1.829054900000000;Shift-DR;0x0000000E008EF0;0x00000000000000;55;55
1.829066950000000;Exit1-DR;;;;
1.829068300000000;Update-DR;;;;
1.831027700000000;Select-DR-Scan;;;;
1.831029000000000;Select-IR-Scan;;;;
1.831030800000000;Capture-IR;;;;
1.831030950000000;Shift-IR;0x00E;0x155;10;10
1.831037050000000;Exit1-IR;;;;
1.831038400000000;Update-IR;;;;
1.831039700000000;Select-DR-Scan;;;;
1.831041500000000;Capture-DR;;;;
1.831041650000000;Shift-DR;0x4040;0x0008;15;15
1.831045400000000;Exit1-DR;;;;
1.831046750000000;Update-DR;;;;
1.831048100000000;Select-DR-Scan;;;;
1.831049400000000;Select-IR-Scan;;;;
1.831051200000000;Capture-IR;;;;
1.831051400000000;Shift-IR;0x00C;0x155;10;10
1.831057500000000;Exit1-IR;;;;
1.831058800000000;Update-IR;;;;
1.831060150000000;Select-DR-Scan;;;;
1.831062000000000;Capture-DR;;;;
1.831062150000000;Shift-DR;0x000000;0x000006;23;23
1.831067550000000;Exit1-DR;;;;
1.831068900000000;Update-DR;;;;
1.937056700000000;Select-DR-Scan;;;;
1.937057950000000;Select-IR-Scan;;;;
1.937059800000000;Capture-IR;;;;
1.937059950000000;Shift-IR;0x00E;0x155;10;10
1.937066050000000;Exit1-IR;;;;
1.937067400000000;Update-IR;;;;
1.937068900000000;Select-DR-Scan;;;;
1.937071050000000;Capture-DR;;;;
1.937071200000000;Shift-DR;0x4040;0x0002;15;15
1.937075000000000;Exit1-DR;;;;
1.937076500000000;Update-DR;;;;
1.937077850000000;Select-DR-Scan;;;;
1.937079200000000;Select-IR-Scan;;;;
1.937081000000000;Capture-IR;;;;
1.937081200000000;Shift-IR;0x00C;0x155;10;10
1.937087200000000;Exit1-IR;;;;
1.937088550000000;Update-IR;;;;
1.937089900000000;Select-DR-Scan;;;;
1.937091700000000;Capture-DR;;;;
1.937091900000000;Shift-DR;0x000300;0x000006;23;23
1.937097300000000;Exit1-DR;;;;
1.937098650000000;Update-DR;;;;
2.038557450000000;Select-DR-Scan;;;;
2.038558700000000;Select-IR-Scan;;;;
2.038560550000000;Capture-IR;;;;
2.038560750000000;Shift-IR;0x00E;0x155;10;10
2.038566800000000;Exit1-IR;;;;
2.038568100000000;Update-IR;;;;
2.038569600000000;Select-DR-Scan;;;;
2.038571800000000;Capture-DR;;;;
2.038571950000000;Shift-DR;0x4040;0x0002;15;15
2.038575800000000;Exit1-DR;;;;
2.038577250000000;Update-DR;;;;
2.038578550000000;Select-DR-Scan;;;;
2.038579900000000;Select-IR-Scan;;;;
2.038581750000000;Capture-IR;;;;
2.038581900000000;Shift-IR;0x00C;0x155;10;10
2.038588000000000;Exit1-IR;;;;
2.038589300000000;Update-IR;;;;
2.038590600000000;Select-DR-Scan;;;;
2.038592500000000;Capture-DR;;;;
2.038592650000000;Shift-DR;0x000300;0x000006;23;23
2.038598050000000;Exit1-DR;;;;
2.038599350000000;Update-DR;;;;
2.141003650000000;Select-DR-Scan;;;;
2.141004900000000;Select-IR-Scan;;;;
2.141006750000000;Capture-IR;;;;
2.141006900000000;Shift-IR;0x00E;0x155;10;10
2.141013000000000;Exit1-IR;;;;
2.141014350000000;Update-IR;;;;
2.141015850000000;Select-DR-Scan;;;;
2.141018000000000;Capture-DR;;;;
2.141018150000000;Shift-DR;0x4040;0x0002;15;15
2.141021950000000;Exit1-DR;;;;
2.141023450000000;Update-DR;;;;
2.141024800000000;Select-DR-Scan;;;;
2.141026100000000;Select-IR-Scan;;;;
2.141027900000000;Capture-IR;;;;
2.141028100000000;Shift-IR;0x00C;0x155;10;10
2.141034150000000;Exit1-IR;;;;
2.141035500000000;Update-IR;;;;
2.141036850000000;Select-DR-Scan;;;;
2.141038650000000;Capture-DR;;;;
2.141038850000000;Shift-DR;0x000300;0x000006;23;23
2.141044250000000;Exit1-DR;;;;
2.141045600000000;Update-DR;;;;
2.242893350000000;Select-DR-Scan;;;;
2.242894600000000;Select-IR-Scan;;;;
2.242896450000000;Capture-IR;;;;
2.242896650000000;Shift-IR;0x00E;0x155;10;10
2.242902700000000;Exit1-IR;;;;
2.242904000000000;Update-IR;;;;
2.242905500000000;Select-DR-Scan;;;;
2.242907700000000;Capture-DR;;;;
2.242907850000000;Shift-DR;0x4040;0x0002;15;15
2.242911650000000;Exit1-DR;;;;
2.242913150000000;Update-DR;;;;
2.242914450000000;Select-DR-Scan;;;;
2.242915800000000;Select-IR-Scan;;;;
2.242917650000000;Capture-IR;;;;
2.242917800000000;Shift-IR;0x00C;0x155;10;10
2.242923900000000;Exit1-IR;;;;
2.242925200000000;Update-IR;;;;
2.242926500000000;Select-DR-Scan;;;;
2.242928350000000;Capture-DR;;;;
2.242928500000000;Shift-DR;0x000300;0x000006;23;23
2.242933900000000;Exit1-DR;;;;
2.242935200000000;Update-DR;;;;
