Time [s];TAP state;TDI;TDO;TDIBitCount;TDOBitCount
0.000000000000000;Run-Test/Idle;;;;
3.226688550000000;Select-DR-Scan;;;;
3.226689800000000;Select-IR-Scan;;;;
3.226691150000000;Test-Logic-Reset;;;;
3.226696450000000;Run-Test/Idle;;;;
3.226697800000000;Select-DR-Scan;;;;
3.226699600000000;Capture-DR;;;;
3.226699800000000;Shift-DR;[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];[0x0FECC0FF020B10DD], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
3.226901500000000;Exit1-DR;;;;
3.226902750000000;Update-DR;;;;
3.226904050000000;Select-DR-Scan;;;;
3.226905400000000;Select-IR-Scan;;;;
3.226907200000000;Capture-IR;;;;
3.226907350000000;Shift-IR;[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
3.227149550000000;Exit1-IR;;;;
3.227150800000000;Update-IR;;;;
3.227152100000000;Select-DR-Scan;;;;
3.227153450000000;Select-IR-Scan;;;;
3.227155300000000;Capture-IR;;;;
3.227155450000000;Shift-IR;[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
3.227481150000000;Exit1-IR;;;;
3.227482400000000;Update-IR;;;;
3.227483750000000;Select-DR-Scan;;;;
3.227485550000000;Capture-DR;;;;
3.227485750000000;Shift-DR;[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFE1FD981FE], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
3.227780800000000;Exit1-DR;;;;
3.227782050000000;Update-DR;;;;
3.227783400000000;Select-DR-Scan;;;;
3.227784750000000;Select-IR-Scan;;;;
3.227786550000000;Capture-IR;;;;
3.227786700000000;Shift-IR;0x3FF;0x155;10;10
3.227792800000000;Exit1-IR;;;;
3.227794150000000;Update-IR;;;;
3.227795450000000;Select-DR-Scan;;;;
3.227797300000000;Capture-DR;;;;
3.227797450000000;Shift-DR;0x00;0x00;7;7
3.227799550000000;Exit1-DR;;;;
3.227800850000000;Update-DR;;;;
3.228229350000000;Select-DR-Scan;;;;
3.228230600000000;Select-IR-Scan;;;;
3.228232450000000;Capture-IR;;;;
3.228232600000000;Shift-IR;0x3FFFE;0x3F955;18;18
3.228240300000000;Exit1-IR;;;;
3.228241650000000;Update-IR;;;;
3.228594800000000;Select-DR-Scan;;;;
3.228595650000000;Select-IR-Scan;;;;
3.228597000000000;Capture-IR;;;;
3.228597150000000;Shift-IR;0x00E;0x155;10;10
3.228601500000000;Exit1-IR;;;;
3.228602300000000;Update-IR;;;;
3.228603150000000;Select-DR-Scan;;;;
3.228604500000000;Capture-DR;;;;
3.228604650000000;Shift-DR;[0x0000000000000000], [0x0000000000000040], [0x00];[0x0000000000000020], [0x0000000000002000], [0x00];135;135
3.228633150000000;Exit1-DR;;;;
3.228634000000000;Update-DR;;;;
3.228634800000000;Select-DR-Scan;;;;
3.228635650000000;Select-IR-Scan;;;;
3.228637000000000;Capture-IR;;;;
3.228637150000000;Shift-IR;0x00C;0x155;10;10
3.228641500000000;Exit1-IR;;;;
3.228642300000000;Update-IR;;;;
3.228643150000000;Select-DR-Scan;;;;
3.228644500000000;Capture-DR;;;;
3.228644650000000;Shift-DR;0x00;0x05;7;7
3.228676000000000;Exit1-DR;;;;
3.228676800000000;Update-DR;;;;
3.228677650000000;Select-DR-Scan;;;;
3.228679000000000;Capture-DR;;;;
3.228679150000000;Shift-DR;0x00;0x00;7;7
3.228681050000000;Exit1-DR;;;;
3.228681900000000;Update-DR;;;;
3.228682700000000;Select-DR-Scan;;;;
3.228684050000000;Capture-DR;;;;
3.228684200000000;Shift-DR;0x00;0x0E;7;7
3.228686050000000;Exit1-DR;;;;
3.228686850000000;Update-DR;;;;
3.228687700000000;Select-DR-Scan;;;;
3.228689050000000;Capture-DR;;;;
3.228689200000000;Shift-DR;0x00;0x06;7;7
3.228691100000000;Exit1-DR;;;;
3.228691900000000;Update-DR;;;;
3.228692750000000;Select-DR-Scan;;;;
3.228694050000000;Capture-DR;;;;
3.228694250000000;Shift-DR;0x00;0x08;7;7
3.228696050000000;Exit1-DR;;;;
3.228696900000000;Update-DR;;;;
3.228697750000000;Select-DR-Scan;;;;
3.228699050000000;Capture-DR;;;;
3.228699250000000;Shift-DR;0x00;0x01;7;7
3.228701100000000;Exit1-DR;;;;
3.228701950000000;Update-DR;;;;
3.228702800000000;Select-DR-Scan;;;;
3.228704050000000;Capture-DR;;;;
3.228704250000000;Shift-DR;0x00;0x08;7;7
3.228706050000000;Exit1-DR;;;;
3.228706900000000;Update-DR;;;;
3.228707750000000;Select-DR-Scan;;;;
3.228709050000000;Capture-DR;;;;
3.228709250000000;Shift-DR;0x00;0x00;7;7
3.228714000000000;Exit1-DR;;;;
3.228714800000000;Update-DR;;;;
3.229000650000000;Select-DR-Scan;;;;
3.229002000000000;Capture-DR;;;;
3.229002150000000;Shift-DR;0x00;0x00;7;7
3.229004050000000;Exit1-DR;;;;
3.229004850000000;Update-DR;;;;
3.229005700000000;Select-DR-Scan;;;;
3.229007050000000;Capture-DR;;;;
3.229007200000000;Shift-DR;0x00;0x00;7;7
3.229009050000000;Exit1-DR;;;;
3.229009900000000;Update-DR;;;;
3.229010750000000;Select-DR-Scan;;;;
3.229012050000000;Capture-DR;;;;
3.229012200000000;Shift-DR;0x00;0x0E;7;7
3.229014050000000;Exit1-DR;;;;
3.229014850000000;Update-DR;;;;
3.229015700000000;Select-DR-Scan;;;;
3.229017050000000;Capture-DR;;;;
3.229017200000000;Shift-DR;0x00;0x06;7;7
3.229019100000000;Exit1-DR;;;;
3.229019950000000;Update-DR;;;;
3.229020800000000;Select-DR-Scan;;;;
3.229022050000000;Capture-DR;;;;
3.229022250000000;Shift-DR;0x00;0x00;7;7
3.229024050000000;Exit1-DR;;;;
3.229024900000000;Update-DR;;;;
3.229025750000000;Select-DR-Scan;;;;
3.229027050000000;Capture-DR;;;;
3.229027250000000;Shift-DR;0x00;0x00;7;7
3.229029150000000;Exit1-DR;;;;
3.229030000000000;Update-DR;;;;
3.229030800000000;Select-DR-Scan;;;;
3.229032100000000;Capture-DR;;;;
3.229032300000000;Shift-DR;0x00;0x0C;7;7
3.229034150000000;Exit1-DR;;;;
3.229034950000000;Update-DR;;;;
3.229082100000000;Select-DR-Scan;;;;
3.229083450000000;Capture-DR;;;;
3.229083600000000;Shift-DR;0x00;0x00;7;7
3.229085450000000;Exit1-DR;;;;
3.229086300000000;Update-DR;;;;
3.229087100000000;Select-DR-Scan;;;;
3.229088450000000;Capture-DR;;;;
3.229088600000000;Shift-DR;0x00;0x01;7;7
3.229090450000000;Exit1-DR;;;;
3.229091300000000;Update-DR;;;;
3.229092100000000;Select-DR-Scan;;;;
3.229093450000000;Capture-DR;;;;
3.229093600000000;Shift-DR;0x00;0x00;7;7
3.229095500000000;Exit1-DR;;;;
3.229096300000000;Update-DR;;;;
3.229097150000000;Select-DR-Scan;;;;
3.229098500000000;Capture-DR;;;;
3.229098650000000;Shift-DR;0x00;0x0E;7;7
3.229100550000000;Exit1-DR;;;;
3.229101400000000;Update-DR;;;;
3.229102250000000;Select-DR-Scan;;;;
3.229103550000000;Capture-DR;;;;
3.229103700000000;Shift-DR;0x00;0x06;7;7
3.229105550000000;Exit1-DR;;;;
3.229106350000000;Update-DR;;;;
3.229107200000000;Select-DR-Scan;;;;
3.229108550000000;Capture-DR;;;;
3.229108700000000;Shift-DR;0x00;0x00;7;7
3.229110600000000;Exit1-DR;;;;
3.229111450000000;Update-DR;;;;
3.229112300000000;Select-DR-Scan;;;;
3.229113550000000;Capture-DR;;;;
3.229113750000000;Shift-DR;0x00;0x00;7;7
3.229115550000000;Exit1-DR;;;;
3.229116400000000;Update-DR;;;;
3.229117250000000;Select-DR-Scan;;;;
3.229170850000000;Capture-DR;;;;
3.229171050000000;Shift-DR;0x00;0x0C;7;7
3.229172850000000;Exit1-DR;;;;
3.229173700000000;Update-DR;;;;
3.229174550000000;Select-DR-Scan;;;;
3.229175850000000;Capture-DR;;;;
3.229176050000000;Shift-DR;0x00;0x00;7;7
3.229177950000000;Exit1-DR;;;;
3.229178800000000;Update-DR;;;;
3.229179600000000;Select-DR-Scan;;;;
3.229180950000000;Capture-DR;;;;
3.229181100000000;Shift-DR;0x00;0x02;7;7
3.229183000000000;Exit1-DR;;;;
3.229183800000000;Update-DR;;;;
3.229184650000000;Select-DR-Scan;;;;
3.229186000000000;Capture-DR;;;;
3.229186150000000;Shift-DR;0x00;0x00;7;7
3.229188050000000;Exit1-DR;;;;
3.229188900000000;Update-DR;;;;
3.229189750000000;Select-DR-Scan;;;;
3.229191050000000;Capture-DR;;;;
3.229191200000000;Shift-DR;0x00;0x0E;7;7
3.229193050000000;Exit1-DR;;;;
3.229193850000000;Update-DR;;;;
3.229194700000000;Select-DR-Scan;;;;
3.229196050000000;Capture-DR;;;;
3.229196200000000;Shift-DR;0x00;0x06;7;7
3.229198100000000;Exit1-DR;;;;
3.229198950000000;Update-DR;;;;
3.229199800000000;Select-DR-Scan;;;;
3.229201100000000;Capture-DR;;;;
3.229201300000000;Shift-DR;0x00;0x00;7;7
3.229203100000000;Exit1-DR;;;;
3.229203950000000;Update-DR;;;;
3.229204800000000;Select-DR-Scan;;;;
3.229223050000000;Capture-DR;;;;
3.229223200000000;Shift-DR;0x00;0x00;7;7
3.229225050000000;Exit1-DR;;;;
3.229225850000000;Update-DR;;;;
3.229226700000000;Select-DR-Scan;;;;
3.229228050000000;Capture-DR;;;;
3.229228200000000;Shift-DR;0x00;0x0C;7;7
3.229230100000000;Exit1-DR;;;;
3.229230950000000;Update-DR;;;;
3.229231750000000;Select-DR-Scan;;;;
3.229233050000000;Capture-DR;;;;
3.229233250000000;Shift-DR;0x00;0x00;7;7
3.229235050000000;Exit1-DR;;;;
3.229235900000000;Update-DR;;;;
3.231679250000000;Select-DR-Scan;;;;
3.231680500000000;Select-IR-Scan;;;;
3.231682350000000;Capture-IR;;;;
3.231682500000000;Shift-IR;0x00E;0x155;10;10
3.231688600000000;Exit1-IR;;;;
3.231689900000000;Update-IR;;;;
3.231691400000000;Select-DR-Scan;;;;
3.231693550000000;Capture-DR;;;;
3.231693750000000;Shift-DR;0x41;0x00;7;7
3.231696050000000;Exit1-DR;;;;
3.231697750000000;Update-DR;;;;
3.231699350000000;Select-DR-Scan;;;;
3.231700700000000;Select-IR-Scan;;;;
3.231702500000000;Capture-IR;;;;
3.231702700000000;Shift-IR;0x00C;0x155;10;10
3.231708750000000;Exit1-IR;;;;
3.231710100000000;Update-IR;;;;
3.231711450000000;Select-DR-Scan;;;;
3.231713250000000;Capture-DR;;;;
3.231713400000000;Shift-DR;0x0000;0x00C6;15;15
3.231717150000000;Exit1-DR;;;;
3.231718500000000;Update-DR;;;;
3.237368300000000;Select-DR-Scan;;;;
3.237369500000000;Select-IR-Scan;;;;
3.237371350000000;Capture-IR;;;;
3.237371500000000;Shift-IR;0x00E;0x155;10;10
3.237377600000000;Exit1-IR;;;;
3.237378900000000;Update-IR;;;;
3.237380200000000;Select-DR-Scan;;;;
3.237382050000000;Capture-DR;;;;
3.237382200000000;Shift-DR;0x40;0x01;7;7
3.237384300000000;Exit1-DR;;;;
3.237385650000000;Update-DR;;;;
3.237386950000000;Select-DR-Scan;;;;
3.237388300000000;Select-IR-Scan;;;;
3.237390150000000;Capture-IR;;;;
3.237390300000000;Shift-IR;0x00C;0x155;10;10
3.237396400000000;Exit1-IR;;;;
3.237397900000000;Update-IR;;;;
3.237399550000000;Select-DR-Scan;;;;
3.237401700000000;Capture-DR;;;;
3.237401900000000;Shift-DR;[0x0000000000000009], [0x0000000000000000];[0x0080200802008024], [0x2008020080200802];128;128
3.237430000000000;Exit1-DR;;;;
3.237430850000000;Update-DR;;;;
3.238218200000000;Select-DR-Scan;;;;
3.238219600000000;Capture-DR;;;;
