Time [s];TAP state;TDI;TDO;TDIBitCount;TDOBitCount
0.000000000000000;Run-Test/Idle;;;;
6.506846300000000;Select-DR-Scan;;;;
6.506847550000000;Select-IR-Scan;;;;
6.506848850000000;Test-Logic-Reset;;;;
6.506854200000000;Run-Test/Idle;;;;
6.506855550000000;Select-DR-Scan;;;;
6.506857350000000;Capture-DR;;;;
6.506857500000000;Shift-DR;[0x0FECC0FF020B10DD], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.507068550000000;Exit1-DR;;;;
6.507069800000000;Update-DR;;;;
6.507071100000000;Select-DR-Scan;;;;
6.507072450000000;Select-IR-Scan;;;;
6.507074300000000;Capture-IR;;;;
6.507074450000000;Shift-IR;[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.508069350000000;Exit1-IR;;;;
6.508070600000000;Update-IR;;;;
6.508071950000000;Select-DR-Scan;;;;
6.508073300000000;Select-IR-Scan;;;;
6.508075100000000;Capture-IR;;;;
6.508075300000000;Shift-IR;[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.512677700000000;Exit1-IR;;;;
6.512678950000000;Update-IR;;;;
6.512680250000000;Select-DR-Scan;;;;
6.512682050000000;Capture-DR;;;;
6.512682250000000;Shift-DR;[0xFFFFFFFE1FD981FE], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.515362200000000;Exit1-DR;;;;
6.515363450000000;Update-DR;;;;
6.515364800000000;Select-DR-Scan;;;;
6.515366100000000;Select-IR-Scan;;;;
6.515367950000000;Capture-IR;;;;
6.515368100000000;Shift-IR;0x155;0x3FF;10;10
6.515374200000000;Exit1-IR;;;;
6.515375500000000;Update-IR;;;;
6.515376800000000;Select-DR-Scan;;;;
6.515378650000000;Capture-DR;;;;
6.515378800000000;Shift-DR;0x00;0x00;7;7
6.515380900000000;Exit1-DR;;;;
6.515382250000000;Update-DR;;;;
6.515806650000000;Select-DR-Scan;;;;
6.515807900000000;Select-IR-Scan;;;;
6.515809750000000;Capture-IR;;;;
6.515809900000000;Shift-IR;0x3F955;0x3FFFE;18;18
6.515817600000000;Exit1-IR;;;;
6.515818950000000;Update-IR;;;;
6.516337950000000;Select-DR-Scan;;;;
6.516338800000000;Select-IR-Scan;;;;
6.516339600000000;Test-Logic-Reset;;;;
6.652676750000000;Run-Test/Idle;;;;
6.652678100000000;Select-DR-Scan;;;;
6.652679900000000;Capture-DR;;;;
6.652680100000000;Shift-DR;[0x0FECC0FF020B10DD], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.652958750000000;Exit1-DR;;;;
6.652960000000000;Update-DR;;;;
6.652961350000000;Select-DR-Scan;;;;
6.652962650000000;Select-IR-Scan;;;;
6.652964500000000;Capture-IR;;;;
6.652964650000000;Shift-IR;[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.653246200000000;Exit1-IR;;;;
6.653247450000000;Update-IR;;;;
6.653248800000000;Select-DR-Scan;;;;
6.653250150000000;Select-IR-Scan;;;;
6.653251950000000;Capture-IR;;;;
6.653252150000000;Shift-IR;[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.653542300000000;Exit1-IR;;;;
6.653543550000000;Update-IR;;;;
6.653544900000000;Select-DR-Scan;;;;
6.653546700000000;Capture-DR;;;;
6.653546900000000;Shift-DR;[0xFFFFFFFE1FD981FE], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.653887850000000;Exit1-DR;;;;
6.653889150000000;Update-DR;;;;
6.653890400000000;Select-DR-Scan;;;;
6.653891750000000;Select-IR-Scan;;;;
6.653893600000000;Capture-IR;;;;
6.653893750000000;Shift-IR;0x155;0x3FF;10;10
6.653899850000000;Exit1-IR;;;;
6.653901150000000;Update-IR;;;;
6.653902500000000;Select-DR-Scan;;;;
6.653904300000000;Capture-DR;;;;
6.653904450000000;Shift-DR;0x00;0x00;7;7
6.653906550000000;Exit1-DR;;;;
6.653907900000000;Update-DR;;;;
6.654718400000000;Select-DR-Scan;;;;
6.654719650000000;Select-IR-Scan;;;;
6.654721450000000;Capture-IR;;;;
6.654721650000000;Shift-IR;0x3F955;0x3FFFE;18;18
6.654729350000000;Exit1-IR;;;;
6.654730650000000;Update-IR;;;;
6.655218150000000;Select-DR-Scan;;;;
6.655219400000000;Select-IR-Scan;;;;
6.655221250000000;Capture-IR;;;;
6.655221400000000;Shift-IR;0x3F955;0x3FFFE;18;18
6.655229150000000;Exit1-IR;;;;
6.655230450000000;Update-IR;;;;
6.655521450000000;Select-DR-Scan;;;;
6.655522300000000;Select-IR-Scan;;;;
6.655523150000000;Test-Logic-Reset;;;;
6.694000700000000;Run-Test/Idle;;;;
6.694002050000000;Select-DR-Scan;;;;
6.694003900000000;Capture-DR;;;;
6.694004050000000;Shift-DR;[0x0FECC0FF020B10DD], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.694225450000000;Exit1-DR;;;;
6.694226650000000;Update-DR;;;;
6.694228000000000;Select-DR-Scan;;;;
6.694229350000000;Select-IR-Scan;;;;
6.694231150000000;Capture-IR;;;;
6.694231300000000;Shift-IR;[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.694472650000000;Exit1-IR;;;;
6.694473900000000;Update-IR;;;;
6.694475200000000;Select-DR-Scan;;;;
6.694476550000000;Select-IR-Scan;;;;
6.694478400000000;Capture-IR;;;;
6.694478550000000;Shift-IR;[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.694759700000000;Exit1-IR;;;;
6.694760950000000;Update-IR;;;;
6.694762300000000;Select-DR-Scan;;;;
6.694764150000000;Capture-DR;;;;
6.694764300000000;Shift-DR;[0xFFFFFFFE1FD981FE], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.695096850000000;Exit1-DR;;;;
6.695098100000000;Update-DR;;;;
6.695099450000000;Select-DR-Scan;;;;
6.695100750000000;Select-IR-Scan;;;;
6.695102600000000;Capture-IR;;;;
6.695102750000000;Shift-IR;0x155;0x3FF;10;10
6.695108800000000;Exit1-IR;;;;
6.695110150000000;Update-IR;;;;
6.695111450000000;Select-DR-Scan;;;;
6.695113250000000;Capture-DR;;;;
6.695113450000000;Shift-DR;0x00;0x00;7;7
6.695115500000000;Exit1-DR;;;;
6.695116850000000;Update-DR;;;;
6.695520250000000;Select-DR-Scan;;;;
6.695521450000000;Select-IR-Scan;;;;
6.695523300000000;Capture-IR;;;;
6.695523450000000;Shift-IR;0x155;0x00E;10;10
6.695529550000000;Exit1-IR;;;;
6.695530850000000;Update-IR;;;;
6.695532200000000;Select-DR-Scan;;;;
6.695534000000000;Capture-DR;;;;
6.695534200000000;Shift-DR;[0xFFFFFFFFFFFFFFFF], [0x7F];[0x0000000000000000], [0x00];71;71
6.695549600000000;Exit1-DR;;;;
6.695550950000000;Update-DR;;;;
6.695959000000000;Select-DR-Scan;;;;
6.695960250000000;Select-IR-Scan;;;;
6.695962100000000;Capture-IR;;;;
6.695962250000000;Shift-IR;0x155;0x00C;10;10
6.695968300000000;Exit1-IR;;;;
6.695969600000000;Update-IR;;;;
6.695970950000000;Select-DR-Scan;;;;
6.695972750000000;Capture-DR;;;;
6.695972950000000;Shift-DR;0x7F;0x00;7;7
6.695975000000000;Exit1-DR;;;;
6.695976350000000;Update-DR;;;;
6.696263000000000;Select-DR-Scan;;;;
6.696264750000000;Capture-DR;;;;
6.696264950000000;Shift-DR;0x7F;0x00;7;7
6.696267000000000;Exit1-DR;;;;
6.696268300000000;Update-DR;;;;
6.698682650000000;Select-DR-Scan;;;;
6.698684400000000;Capture-DR;;;;
6.698684550000000;Shift-DR;0x7F;0x00;7;7
6.698686650000000;Exit1-DR;;;;
6.698687950000000;Update-DR;;;;
6.699551950000000;Select-DR-Scan;;;;
6.699553700000000;Capture-DR;;;;
6.699553900000000;Shift-DR;0x7F;0x00;7;7
6.699555950000000;Exit1-DR;;;;
6.699557300000000;Update-DR;;;;
6.700931900000000;Select-DR-Scan;;;;
6.700933650000000;Capture-DR;;;;
6.700933800000000;Shift-DR;0x7F;0x00;7;7
6.700935900000000;Exit1-DR;;;;
6.700937200000000;Update-DR;;;;
6.701281150000000;Select-DR-Scan;;;;
6.701282950000000;Capture-DR;;;;
6.701283150000000;Shift-DR;0x7F;0x00;7;7
6.701285150000000;Exit1-DR;;;;
6.701286500000000;Update-DR;;;;
6.701703700000000;Select-DR-Scan;;;;
6.701705450000000;Capture-DR;;;;
6.701705650000000;Shift-DR;0x7F;0x00;7;7
6.701707750000000;Exit1-DR;;;;
6.701709100000000;Update-DR;;;;
6.702246550000000;Select-DR-Scan;;;;
6.702248250000000;Capture-DR;;;;
6.702248400000000;Shift-DR;0x7F;0x00;7;7
6.702250500000000;Exit1-DR;;;;
6.702251850000000;Update-DR;;;;
6.702935450000000;Select-DR-Scan;;;;
6.702936300000000;Select-IR-Scan;;;;
6.702937150000000;Test-Logic-Reset;;;;
6.751103400000000;Run-Test/Idle;;;;
6.751104700000000;Select-DR-Scan;;;;
6.751106550000000;Capture-DR;;;;
6.751106700000000;Shift-DR;[0x0FECC0FF020B10DD], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.751321200000000;Exit1-DR;;;;
6.751322400000000;Update-DR;;;;
6.751323750000000;Select-DR-Scan;;;;
6.751325100000000;Select-IR-Scan;;;;
6.751326900000000;Capture-IR;;;;
6.751327050000000;Shift-IR;[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.752563200000000;Exit1-IR;;;;
6.752564450000000;Update-IR;;;;
6.752565800000000;Select-DR-Scan;;;;
6.752567100000000;Select-IR-Scan;;;;
6.752568900000000;Capture-IR;;;;
6.752569100000000;Shift-IR;[0xFFFFFC3FB303FD55], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.752916450000000;Exit1-IR;;;;
6.752917700000000;Update-IR;;;;
6.752919050000000;Select-DR-Scan;;;;
6.752920850000000;Capture-DR;;;;
6.752921000000000;Shift-DR;[0xFFFFFFFE1FD981FE], [0xFFFFFFFFFFFFFFFF], [0x1];[0xFFFFFFFF0FECC0FF], [0xFFFFFFFFFFFFFFFF], [0x1];129;129
6.753207150000000;Exit1-DR;;;;
6.753208400000000;Update-DR;;;;
6.753209750000000;Select-DR-Scan;;;;
6.753211100000000;Select-IR-Scan;;;;
6.753212900000000;Capture-IR;;;;
6.753213100000000;Shift-IR;0x155;0x3FF;10;10
6.753219150000000;Exit1-IR;;;;
6.753220450000000;Update-IR;;;;
6.753221800000000;Select-DR-Scan;;;;
6.753223600000000;Capture-DR;;;;
6.753223750000000;Shift-DR;0x00;0x00;7;7
6.753225850000000;Exit1-DR;;;;
6.753227150000000;Update-DR;;;;
6.753712200000000;Select-DR-Scan;;;;
6.753713450000000;Select-IR-Scan;;;;
6.753715300000000;Capture-IR;;;;
6.753715450000000;Shift-IR;0x3F955;0x3FFFE;18;18
6.753723200000000;Exit1-IR;;;;
6.753724550000000;Update-IR;;;;
6.755023350000000;Select-DR-Scan;;;;
6.755024150000000;Select-IR-Scan;;;;
